HOST_NEIGHBOURHOOD_LGA,YEAR_MONTH,NUMBER_OF_DISTINCT_HOST,ESTIMATED_REVENUE,ESTIMATED_REVENUE_PER_HOST
Willoughby,2021-02-01,100,10670.446429,10142.500000
North Sydney,2020-09-01,17,4819.647059,4652.000000
Hornsby,2020-05-01,1,520.000000,520.000000
Strathfield,2021-01-01,6,1020.166667,1020.166667
Canterbury-Bankstown,2020-09-01,24,1306.806452,1639.208333
Strathfield,2020-10-01,17,1719.294118,1715.176471
Parramatta,2021-02-01,6,3641.250000,4855.000000
Georges River,2021-01-01,47,2334.150943,2084.468085
Strathfield,2020-10-01,21,2046.923077,2301.428571
Georges River,2020-08-01,8,1755.555556,1975.000000
Inner West,2020-07-01,4,900.000000,900.000000
Campbelltown,2020-06-01,1,6000.000000,6000.000000
Willoughby,2020-07-01,1,2400.000000,2400.000000
Liverpool,2021-04-01,1,1650.000000,1650.000000
Hornsby,2020-09-01,2,735.000000,735.000000
Strathfield,2021-04-01,3,1800.000000,1800.000000
Ryde,2020-12-01,2,2325.000000,2325.000000
Campbelltown,2020-09-01,1,1539.000000,1539.000000
Burwood,2020-07-01,1,1620.000000,1620.000000
Campbelltown,2020-12-01,1,67290.000000,67290.000000
Liverpool,2020-10-01,1,3026.000000,3026.000000
Northern Beaches,2020-06-01,407,8375.955556,9701.542998
Randwick,2021-04-01,317,3313.726651,3882.466877
Bayside,2020-08-01,313,3010.215054,1489.424920
Sydney,2020-08-01,1647,2077.892954,1731.231330
Strathfield,2020-07-01,55,1585.078947,1491.218182
Woollahra,2021-04-01,161,5152.497561,6245.192547
Bayside,2021-03-01,294,2639.102975,1828.411565
Bayside,2020-12-01,427,2728.686538,1575.941452
Inner West,2021-02-01,627,4153.408430,1724.569378
Mosman,2021-01-01,58,7720.391304,8608.396552
Waverley,2020-07-01,1221,6155.871722,2641.074529
North Sydney,2020-05-01,19,3829.550000,3443.736842
Inner West,2020-10-01,243,2142.279365,2302.448560
Randwick,2020-09-01,318,4386.859195,2875.808176
Canada Bay,2020-07-01,84,4565.515464,3940.297619
Burwood,2020-06-01,46,2501.682692,4560.847826
Penrith,2020-05-01,7,494.590909,1164.428571
Woollahra,2020-07-01,302,6110.030211,3272.781457
Canada Bay,2020-11-01,199,3347.708696,2610.517588
Hunters Hill,2021-04-01,12,4307.500000,3957.500000
Cumberland,2020-10-01,4,4117.500000,4117.500000
Waverley,2021-03-01,1754,6110.849440,1957.753706
Sutherland Shire,2020-05-01,61,3298.797297,3930.508197
Sutherland Shire,2020-09-01,59,5447.796610,4019.491525
Sutherland Shire,2020-06-01,60,5755.573770,4208.000000
Sutherland Shire,2020-11-01,110,4372.950820,3277.454545
Hornsby,2020-09-01,8,1539.647059,3271.750000
Woollahra,2021-04-01,17,5810.055556,5710.647059
Woollahra,2021-01-01,224,7165.927126,5749.973214
Hunters Hill,2020-12-01,12,7775.833333,7425.833333
Lane Cove,2020-10-01,39,4726.300000,4259.025641
Georges River,2020-05-01,16,702.125000,702.125000
The Hills Shire,2021-04-01,3,14443.750000,35768.000000
Ryde,2020-09-01,11,2612.727273,2612.727273
Hunters Hill,2021-01-01,6,6609.333333,6609.333333
Waverley,2021-03-01,13,9304.692308,9304.692308
Parramatta,2020-05-01,8,3150.000000,3375.000000
Northern Beaches,2020-10-01,316,10168.814004,11051.879747
